prefix	name	synonyms	description	example	pattern	uri_format
tess	Transcription Element Search System		TESS is a web tool for predicting transcription factor binding sites in DNA sequences. It can identify binding sites using site or consensus strings and positional weight matrices from the TRANSFAC, JASPAR, IMD, and our CBIL-GibbsMat database.	T00015	^[A-Z]\d+$	http://www.cbil.upenn.edu/cgi-bin/tess/tess?request=FCT-DBRTRV-Accno&key=$1
tgdb	Tumor Gene Family Databases (TGDBs)		The Tumor Gene Family of Databases contains information about genes which are targets for cancer-causing mutations; proto-oncogenes and tumor supressor genes. Its goal is to provide a standard set of facts (e.g. protein size, biochemical activity, chromosomal location, ...) about all known tumor genes. At present, the database contains over 2600 facts on over 300 genes.	P53	^[A-Z,0-9]+$	http://www.tumor-gene.org/cgi-bin/TGDB/tgdb_fetch_gene.cgi?gene=$1
thealternativa	thesaurus alternativa		A spanish thesaurus	Areas	^\w$	
thesaurus	thesaurus		A spanish thesaurus	Areas	^\w$	
tm-const	Traditional Medicine Constitution Value Set		The value set for the Constitution property of the International Classification of Traditional Medicine (ICTM).	TM817079	^TM\d$	
tm-other-factors	Traditional Medicine Other Factors Value Set		The value set for the Other Factors property of the International Classification of Traditional Medicine (ICTM).	TM2302168	^TM\d$	
tm-signs-and-sympts	Traditional Medicine Signs and Symptoms Value Set		The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).	TM529400	^TM\d$	
tomatest_db	TomatEST DB		This database has been designed to manage and to explore the huge amount of EST reads from 14 Solanaceae and 2 Rubiaceae species.	SOLPN003470	^[A-Z]+\d+$	http://biosrv.cab.unina.it/solestdb/clusterview.php?clid=$1
tpdb	Target Protein Database		This database is an attempt to catalog in a convenient, searchable fashion all publicly available information about the identities of mammalian proteins that become covalently adducted by chemically-reactive metabolites of xenobiotic agents including drugs.	86	^\d+$	http://tpdb.medchem.ku.edu:8080/protein_database/protein_details.jsp?prot_id=$1
tpmd	Taiwan polymorphic microsatellite marker database		The aims of TPMD are to share useful genotyping information including data of genotyped microsatellite markers, genotyping resources and laboratory supports for promoting genotyping and gene cloning of prevalent diseases.	AFM234WG3	^[A-Z,0-9]+$	http://tpmd2.nhri.org.tw/tpmd/php-bin/filter.php?search=$1
tptad	TIGR Plant Transcript Assembly database		The TIGR Plant Transcript Assemblies (TA) database uses expressed sequences collected from the NCBI GenBank Nucleotide database for the construction of transcript assemblies. The sequences collected include expressed sequence tags (ESTs) and full-length and partial cDNAs, but exclude computationally predicted gene sequences	TA67744_4530	^TA\d+_\d+$	http://plantta.jcvi.org/cgi-bin/plantta_report.pl?ta=$1
transterm	Transterm		Transterm is a database providing access to mRNA sequences and associated regulatory elements.	T0102	^T\d+$	http://mrna.otago.ac.nz/cgi-bin/tt_data_browse/RNAMotif?PatID=$1
tropgene	TropGENE DB		TropGENE DB is a database that manages genetic and genomic information about tropical crops studied by Cirad. The database is organised into crop specific modules.	ITC0084	^[A-Z]+\d+$	
trrd	Transcription Regulatory Regions Database		TRRD is a unique information resource, accumulating information on structural and functional organization of transcription regulatory regions of eukaryotic genes. Only experimentally confirmed information is included into TRRD.	F186.1	^[A-Z,0-9]+$	
tssrmd	The Small Subunit rRNA Modification Database		The Small Subunit rRNA Modification Database provides a listing of reported post-transcriptionally modified nucleosides and sequence sites in small subunit rRNAs from bacteria, archaea and eukarya.	2066	^\d+$	
u12db	U12 Intron Database		the U12 Intron Database (U12DB), aims to catalog the U12 introns of completely sequenced eukaryotic genomes and associate orthologous introns with each other.	24173	^\d+$	
ugmicrosatdb	Unigene MicroSatellite Database		UgMicroSatdb (Unigene MicroSatellite database), a web based relational database of microsatellites present in unigene sequences covering 80 genomes. UgMicroSatdb allows microsatellite search using multiple parameters like microsatellite type simple (perfect) and compound (perfect and imperfect), repeat unit length (mono- to hexa-nucleotide), repeat number, microsatellite length and repeat sequence class.	UMD-10-1-1-4	^UGM-\d+$	http://www.veenuash.info/veenu/chromo.asp?ns=$1
uni-ece	uni-ece		ECE college terminology	Graduate	^\w$	
utrome	UTRome		The UTRome.org database is intended as a comprehensive resource for 3'UTR biology in C. elegans. The database provides detailed information on 3'UTR structures for all protein-coding mRNAs, and includes annotations extracted from other databases as well as new annotations generated as part of the NYU 3'UTRome project.	2815	^\d+$	http://128.122.61.5/cgi-bin/UTRome/utrome.cgi?action=gene&geneid=$1
veb	VISTA Enhancer Browser	veb:	The VISTA Enhancer Browser is a central resource for experimentally validated human and mouse noncoding fragments with gene enhancer activity as assessed in transgenic mice.	1	^\d+$	
vkcdb	Voltage-gated K |  Channel Database		Voltage-gated potassium channel database (VKCDB) is designed to serve as a resource for  research on voltage-gated potassium channels. Protein sequences, references, functional data and many other relevant data are included in this database.	VKC145	^VKC\d+$	http://vkcdb.biology.ualberta.ca/cgi-bin/vkcdb/vkcdb-scp/entry.cgi?vkcid=$1
vmd	Virginia Bioinformatics Institute Microbial Database	pamgovmd	VBI Microbial Database at VBI hosts data from a range of plant pathogenic oomycetes, fungi and bacteria primarily those under study at VBI.	464033	^\d+$	http://vmd.vbi.vt.edu/cgi-bin/browse/browserDetail_new.cgi?ID=$1
yeastfunc	Yeast Function		A website for the browsing of quantitative S. cerevisiae gene function predictions, gene function linkage predictions, and the evidence behind the predictions	4306	^\d+$	http://func.med.harvard.edu/yeast/genes/list_functional_scores/$1
zifdb	Zinc Finger Consortium Database	zif	ZiFDB organizes information on both individual zinc finger modules and engineered ZFAs; There are currently four sets of zinc finger modules available.	1	^\d+$	http://bindr.gdcb.iastate.edu:8080/ZiFDB/controller/checkArticle?artId=$1
