Preferred Prefix	Alt-prefix	Provider Base URI	Alternative Base URI	MIRIAM	BiodbcoreID	BioPortal Ontology ID	identifiers.org	Abbreviation	Title	Description	PubMed ID	Organization	Type (warehouse, dataset or terminology)	Keywords	Homepage	Functional?	sub-namespace in dataset	part of collection	License URL	License Text	Rights	ID regex	ExampleID	Provider HTML URL		MIRIAM checked	MIRIAM curator notes	MIRIAM coverage	updates	year last accessible	wayback url	last updated	last updated by	last updated by (orcid)
tacrd									The Autism Chromosome Rearrangement Database	The Autism Chromosome Rearrangement Database is a collection of hand curated breakpoints and other genomic features, related to autism, taken from publicly available literature: databases and unpublished data.		Center for Applied Genomics, Toronto		genome	http://projects.tcag.ca/autism									N/A			not linkable (spreadsheet)	omitted						
tads		http://purl.obolibrary.org/obo/TADS_	http://purl.obofoundry.org/tads/,http://purl.obolibrary.org/tads/,http://purl.org/obo/owl/TADS#,http://identifiers.org/obo.tads/			1065		TADS	Tick gross anatomy	The anatomy of the Tick, Families: Ixodidae, Argassidae			terminology	obo, anatomy, tick	http://www.anobase.org													omitted						
taed								TAED	The Adaptive Evolution Database	TAED will contain gene families with the last common ancestor of Chordates maximally as the oldest node, multiple sequence alignments, maximum likelihood phylogenetic trees, ancestral sequences at each node, dN/dS and amino acid rate shifts calculated along each branch, gene tree/species tree reconciliation to map each gene tree branch to one or more species tree branches, searches enabled by gene family or species tree lineage, and mapping of substitutions onto 3D protein structures where close homologs are available in PDB. 		University of Wyoming		gene, DNA, structure, protein	http://www.bioinfo.no/tools/TAED									http://www.sbc.su.se/~malin_a/TAEDcorr/$id.html			not linkable (http://www.wyomingbioinformatics.org/TAED/TreeViewer.php?treesource=../TAED_DATABASE2/8/40249.nhx_rooted.isoforms&fn=basement_membrane-specific_heparan_sulfate_proteoglycan_core_protein-like)	omitted						
tagd								TAG	Tumor Associated Gene database	 The tumor-associated gene (TAG) database was designed to utilize information from well-characterized oncogenes and tumor suppressor genes to facilitate cancer research. All target genes were identified through text-mining approach from the PubMed database. 		NCKU Bioinformatics Center		gene	http://www.binfo.ncku.edu.tw/TAG/GeneDoc.php									no search				curation						
tahe						1536		TAHE	Terminology of Anatomy of Human Embryology				terminology	obo, anatomy, human														omitted						
tahh						1535		TAHH	Terminology of Anatomy of Human Histology				terminology	obo, anatomy, human														omitted						
tair	tair_arabidopsis, agi							TAIR	The Arabidopsis Information Resource	The Arabidopsis Information Resource (TAIR) maintains a database of genetic and molecular biology data for the model higher plant Arabidopsis thaliana.		Carnegie Institution for Science Department of Plant Biology 		genome, gene, structure	http://www.arabidopsis.org/				http://www.arabidopsis.org/about/citingtair.jsp	If you used specific pages in TAIR for your research, please cite us in your article	attribution			N/A			duplicated tair.locus .gene	present as MIR:00000048,49,50 						
tair.gene				MIR:00000049					TAIR-Gene	The reference gene model for a given locus	12444417			gene								^Gene:\d{7}$	Gene:2200934	http://arabidopsis.org/servlets/TairObject?accession=$id		x								
tair.locus				MIR:00000050					TAIR-Locus	The locus name	12444417			genome								^AT[1-5]G\d{5}$	AT1G01030	http://arabidopsis.org/servlets/TairObject?type=locus&name=$id		x								
tair.protein				MIR:00000048					TAIR-Protein	The protein entry	12444417			protein								^AASequence:\d{10}$	 AASequence:1009107926	http://arabidopsis.org/servlets/TairObject?accession=$id		x								
tao	teleost_anatomy	http://purl.obolibrary.org/obo/TAO_				1110		TAO	Teleost Anatomy Ontology	Multispecies fish anatomy ontology. Originally seeded from ZFA, but intended to cover terms relevant to other taxa		National Evolutionary Synthesis Center	terminology	obo, classification, anatomy	https://www.nescent.org/phenoscape/Main_Page							^TAO_\d{7}$	TAO_0000297	http://purl.obolibrary.org/obo/$id				omitted						
tarbase				MIR:00000340				TarBase	TarBase		22135297				http://diana.cslab.ece.ntua.gr/DianaToolsNew/index.php?r=tarbase							^\w+\-\w+\-\w+	hsa-let-7	http://diana.cslab.ece.ntua.gr/DianaToolsNew/index.php?r=tarbase/index&mirnas=$id		x	updated from 							
targetdb								TargetDB	TargetDB	TargetDB, a target registration database, provides information on the experimental progress and status of targets selected for structure determination. 		Protein Structure Initiative		structure	http://targetdb.pdb.org/							BSGCAIR\d+	 BSGCAIR30339 	N/A			not linkable / url change	omitted						
tassdb								TassDB	TAndem Splice Site DataBase	TassDB stores extensive data about alternative splice events at GYNGYN donors and NAGNAG acceptors. Currently, 114,554 tandem splice sites of eight species are contained in the database, 5,209 of which have EST/mRNA evidence for alternative splicing.		Albert-Ludwigs-University Freiburg		RNA, DNA	http://helios.informatik.uni-freiburg.de/TassDB/							[A-Z.0-9]+	AVPI1	N/A				omitted						
taxonomy	taxid, taxon, ncbitaxon, ncbitaxonomy, newt, taxman, ncbi_taxid, ncbi_taxon_id	http://purl.obolibrary.org/obo/TAXONOMY_	http://purl.org/obo/owl/NCBITaxon#, http://purl.obofoundry.org/taxon/, http://purl.obolibrary.org/taxon/, http://purl.org/obo/owl/TAXON#, http://bioportal.bioontology.org/ontologies/1132?p=terms&conceptid=obo:NCBITaxon_#, http://identifiers.org/obo.taxon/	MIR:00000006		1132			NCBI Taxonomy	The NCBI taxonomy database contains the names of all organisms that are represented in the genetic databases with at least one nucleotide or protein sequence.		NCBI	terminology	DNA, protein, structure, classification	http://www.ncbi.nlm.nih.gov/taxonomy				http://www.nlm.nih.gov/copyright.html	Government information at NLM Web sites is in the public domain. Public domain information may be freely distributed and copied, but it is requested that in any subsequent use the National Library of Medicine (NLM) be given appropriate acknowledgement.	attribution	^\d+$	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=$id		x	added ols							
taxrank	taxonomic_rank	http://purl.obolibrary.org/obo/TAXRANK_				1419			Taxonomic rank vocabulary	Taxonomic ranks drawn from both the NCBI taxonomy database and from a rank vocabulary developed for the TDWG biodiversity information standards group.			terminology	obo	https://www.phenoscape.org/wiki/Taxonomic_Rank_Vocabulary							TAXRANK:\d+	TAXRANK:0000001	http://purl.obolibrary.org/obo/$id				omitted						
tbdb								TBDB	Tuberculosis Database	TBDatabase (TBDB) makes available the tools and resources available at the Stanford Microarray Database and the Broad Institute.		Stanford University		gene expression	http://tbdb.org							[A-Z]\d+	S7000000635247860	http://genome.tbdb.org/annotation/genome/tbdb/GeneDetails.html?sp=$id				curation						
tbestdb								TBestDB	Taxonomically Broad EST Database	The taxonomically broad EST database TBestDB serves as a repository for EST data from a wide range of eukaryotes, many of which have previously not been thoroughly investigated.		University of Montreal		DNA, RNA	http://tbestdb.bcm.umontreal.ca/searches/welcome.php							[A-Z]+\d+	COL00000190	http://tbestdb.bcm.umontreal.ca/searches/contig.php?conDeID=$id				curation						
tc7ap									The Chromosome 7 Annotation Project	The objective of this project is to generate the most comprehensive description of human chromosome 7 to facilitate biological discovery, disease gene research and medical genetic applications.		Center for Applied Genomics, Toronto		genome	http://www.chr7.org							GA\d+	GA0008	http://www.chr7.org/cgi-bin/geneview?id=$id				curation						
tccd								The Cell Cycle DB	The Cell Cycle DB	Cell Cycle Database is a collection of genes and proteins involved in human and yeast cell cycle 		ITB-CNR		gene, protein, pathway	http://www.itb.cnr.it/cellcycle							[A-Z,0-9]+	TP53	http://www.itb.cnr.it/cellcycle/gene_rep.php?gene_name=$id				curation x2						
tcdb	tc			MIR:00000040				TCDB	Transport Classification Database	TCDB is a curated database of factual information from over 10,000 published references; it contains about 5,600 unique protein sequences that are classified into over 600 transporter families based on the TC-system.	16381841	UCSD		protein, structure	http://www.tcdb.org/							^\d+\.[A-Z]\.\d+\.\d+\.\d+$	5.A.1.1.1	http://www.tcdb.org/search/result.php?tc=$id		x								
tcruzidb								TcruziDB	TcruziDB; An Integrated Trypanosoma cruzi Genome Resource	TcruziDB provides access to the published genome sequence data from strain (CL Brener), generated by TIGR, Karolinska & SBRI, functional genomics data and annotation generated by the Trypanosoma cruzi research community.		TcruziDB		genome, DNA	http://tcruzidb.org/							[a-z]+\d+	Tc00.1047053508461.30	http://tcruzidb.org/tcruzidb/showRecord.do?name=GeneRecordClasses.GeneRecordClass&project_id=&primary_key=$id				present as MIR:00000155						
tcsnp								TcSNP	TcSNP																		no resolving url	omitted						
tdr								TDR	Top Down Proteoform Repository			Top Down Proteomics	dataset	protein	http://repository.topdownproteomics.org/							^PFR\d+$	PFR2540				not linkable (http://repository.topdownproteomics.org/Entry/ProteinIsoform?ProteinEntryId=35006&CellTypeId=334)	omitted						
tdrtargets								TDRtargets	TDRtargets																		no resolving url	omitted						
tecrdb								TECRdb	TECRdb: Thermodynamics of Enzyme-Catalyzed Reactions Database	Each entry in this database contains:  the reference for the data; the reaction studied; the name of the enzyme used and its Enzyme Commission number; the method of measurement; the conditions of measurement (temperature, pH, ionic strength, and the buffer(s) and cofactor(s) used); the thermodynamic data and an evaluation of it; and, sometimes, commentary on the data and on any corrections which have been applied to it.		NIST		enzyme, protein	http://xpdb.nist.gov/enzyme_thermodynamics									http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?T1=$id				curation						
ted								TED	Tomato Functional Genomics Database	The Tomato Functional Genomics Database integrates several prior databases including the Tomato Expression Database and Tomato Metabolite Database, and the Tomato Small RNA Database. 		Cornell University		genome, RNA	http://ted.bti.cornell.edu									N/A			portal / no resolving url	omitted						
teddy	biomodels.teddy	http://purl.obolibrary.org/obo/TEDDY_	http://purl.obofoundry.org/teddy/, http://purl.obolibrary.org/teddy/, http://purl.org/obo/owl/TEDDY#, http://identifiers.org/obo.teddy/, http://biomodels.net/teddy/TEDDY#	MIR:00000107		1407		TEDDY	Terminology for the Description of Dynamics	The Terminology for Description of Dynamics (TEDDY) is an ontology for dynamical behaviours, observable dynamical phenomena, and control elements of bio-models and biological systems in Systems Biology and Synthetic Biology.		Friedrich-Schiller University	terminology	ontology	http://teddyontology.sourceforge.net/				http://www.ebi.ac.uk/Information/termsofuse.html	The public databases of the EBI are freely available by any individual and for any purpose	open	^TEDDY_\d{7}$	TEDDY_0000066			x								
telomerase_database	telomerasedb								Telomerase database	The Telomerase Database is a Web-based tool for the study of structure, function, and evolution of the telomerase ribonucleoprotein. The objective of this database is to serve the research community by providing a comprehensive compilation of information known about telomerase enzyme and its substrate, telomeres.		Arizona State University		protein, structure, RNA, DNA, enzyme, small molecule	http://telomerase.asu.edu									N/A			no resolving url (html spreadsheet of links to insdc etc)	omitted						
teo		http://informatics.mayo.edu/TEO.owl#				3042		TEO	Time Event Ontology	The Time Event Ontology (TEO) is an ontology for representing events, time, and their relationships.			terminology										TEO_0000011					omitted						
tess								TESS	Transcription Element Search System	TESS is a web tool for predicting transcription factor binding sites in DNA sequences. It can identify binding sites using site or consensus strings and positional weight matrices from the TRANSFAC, JASPAR, IMD, and our CBIL-GibbsMat database.		University of Pennsylvania		regulation, DNA	http://www.cbil.upenn.edu/tess							[A-Z]\d+	T00015	http://www.cbil.upenn.edu/cgi-bin/tess/tess?request=FCT-DBRTRV-Accno&key=$id			portal (including eupath and other DBs) / not linkable	omitted						
tfe								TFe	Transcription Factor encyclopedia					regulation, DNA													no resolving url	omitted						
tgd								T4-like genome database	T4-like genome database	Pages with links to phage information are also available, including a T4 genetic map reference figure, RB69, RB49, and Aeh1 Map figures, electron micrographs, annotation tables, sequence files, and links to NCBI T4 and Integrated Genomics RB69 annotation sites are available.		Tulane University		genome	http://phage.bioc.tulane.edu							[A-Z,0-9]+	RB51	http://phage.bioc.tulane.edu/cgi-bin/gbrowse/$id?name=$id				omitted						
tgdb								TGDB	Tumor Gene Family Databases (TGDBs)	The Tumor Gene Family of Databases contains information about genes which are targets for cancer-causing mutations; proto-oncogenes and tumor supressor genes. Its goal is to provide a standard set of facts (e.g. protein size, biochemical activity, chromosomal location, ...) about all known tumor genes. At present, the database contains over 2600 facts on over 300 genes.		TGDB		gene	http://www.tumor-gene.org/tgdf.html							[A-Z,0-9]+	P53	http://www.tumor-gene.org/cgi-bin/TGDB/tgdb_fetch_gene.cgi?gene=$id				curation						
tgi	tigr_tgi							TIGR_TGI	The Gene Index Project	The goal of The Gene Index Project is to use the available EST and gene sequences, along with the reference genomes wherever available, to provide an inventory of likely genes and their variants and to annotate these with information regarding the functional roles played by these genes and their products. 		Harvard University	dataset	gene, DNA	http://compbio.dfci.harvard.edu/tgi/									http://compbio.dfci.harvard.edu/cgi-bin/tgi/gimain.pl?gudb=$id			portal / no resolving url / phased out? (TGI databases have moved at DFCI and are no longer available at TIGR/JCVI)	omitted						
tgma		http://purl.obolibrary.org/obo/TGMA_				1030		TGMA	Mosquito gross anatomy	A structured controlled vocabulary of the anatomy of mosquitoes.			terminology	obo, anatomy, mosquito	http://www.anobase.org							^TGMA_\d{7}$	TGMA_0001525				incorrect link / 	omitted						
thealternativa		http://www.owl-ontologies.com/thesaurus.owl#				3037			thesaurus alternativa	A spanish thesaurus			terminology	owl, thesaurus, spanish								^\w$	Areas					omitted						
thesaurus		http://www.owl-ontologies.com/thesaurus.owl#				3034			thesaurus	A spanish thesaurus			terminology	owl, thesaurus, spanish								^\w$	Areas					omitted						
thgs								THGS	Transmembrane Helices in Genome Sequences	A web based database of Transmembrane Helices in Genome Sequences.		Indian Institute of Science		genome, DNA	http://pranag.physics.iisc.ernet.in/thgs/									N/A			not linkable / portal (drop down selects)	omitted						
thpsmd								The HIV Positive Selection Mutation Database	The HIV Positive Selection Mutation Database	Positive selection analysis of 50,000 HIV-1 subtype B samples from the U.S. identifying mutations that contribute to drug resistance or viral fitness in HIV protease and reverse transcriptase		University of California, Los Angeles		enzyme, protein	http://www.bioinformatics.ucla.edu/HIV													omitted						
tied								IEDB	The Immune Epitope Database (IEDB)	The IEDB contains data related to antibody and T cell epitopes for humans, non-human primates, rodents, and other animal species. 		National Institute of Allergy & Infectious Diseases		protein, small molecule	http://www.iedb.org							^\d+$	21	http://www.iedb.org/epId/$id				curation x4						
tigr								TIGR	The bacterial database(s) of 'The Institute of Genome Research'					genome	http://www.tigr.org/tdb/									unavailable			no resolving url / 	omitted						
tigr.ath	ath								TIGR: Arabidopsis thaliana database					genome		no								unavailable			no resolving url / 	omitted						
tigr.pfa									TIGR: Plasmodium falciparum database			JCVI			http://www.tigr.org/tdb/e2k1/pfa1/pfa1.shtml									unavailable			no resolving url / 	omitted						
tigr.ref									TIGR: references						http://www.tigr.org/tdb/GO_REF/GO_REF.shtml									unavailable			no resolving url / 	omitted						
tigr.tba									TIGR: Trypanosoma brucei database			JCVI			http://www.tigr.org/tdb/e2k1/tba1/									unavailable			no resolving url / 	omitted						
tigrfams	jcvi.tigrfams			MIR:00000315				TIGRFAMS	TIGRFAMs HMM collection at the J. Craig Venter Institute	TIGRFAMs are protein families based on Hidden Markov Models or HMMs. This collection is used to see the curated seed alignmet for each TIGRFam, the full alignment of all family members and the cutoff scores for inclusion in each of the TIGRFAMs. 		JCVI	dataset	protein	http://www.jcvi.org/cms/research/projects/tigrfams/							^TIGR\d+$	TIGR00254	http://cmr.jcvi.org/cgi-bin/CMR/HmmReport.cgi?hmm_acc=$id		x								
tissue_list	tissue list							Tissue List	Controlled vocabulary of tissues	A controlled vocabulary of tissues used by SIB.		Swiss Institute of Bioinformatics	terminology	tissue	https://www.uniprot.org/docs/tisslist.txt								TS-0001											
tm-const		http://who.int/ictm/constitution#				1570			Traditional Medicine Constitution Value Set	The value set for the Constitution property of the International Classification of Traditional Medicine (ICTM).			terminology	owl, traditional medicine	https://sites.google.com/site/whoictm/home							^TM\d$	TM817079					omitted						
tm-mer		http://who.int/ictm/meridians#				1573		TM-MER	Traditional Medicine Meridian Value Sets	The meridian value set used in the International Classification of Traditional Medicine.			terminology		https://sites.google.com/site/whoictm/home								TM3316692					omitted						
tm-other-factors		http://who.int/ictm/otherFactors#				1571			Traditional Medicine Other Factors Value Set	The value set for the Other Factors property of the International Classification of Traditional Medicine (ICTM).			terminology	owl, traditional medicine	https://sites.google.com/site/whoictm/home							^TM\d$	TM2302168					omitted						
tm-signs-and-sympts		http://who.int/ictm/signsAndSymptoms#				1572			Traditional Medicine Signs and Symptoms Value Set	The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).			terminology	owl, traditional medicine	https://sites.google.com/site/whoictm/home							^TM\d$	TM529400					omitted						
tma		http://bioontology.org/ontologies/tma-minimal#				1494		TMA	Tissue Microarray Ontology	Tissue microarrays (TMA) are enormously useful tools for translational research, but incompatibilities in database systems between various researchers and institutions prevent the efficient sharing of data that could help realize their full potential.  The Resource Description Framework (RDF) provides a flexible method to represent knowledge in triples, which take the form Subject-Predicate-Object.  All data resources are described using Uniform Resource Identifiers (URI), which are global in scope.  We present an OWL (Web Ontology Language) schema that expands upon the TMA data exchange specification to address this issue and assist in data sharing and integration.			terminology										slide					omitted						
tmhmm								TMHMM	Prediction of transmembrane helices in proteins	A membrane protein topology prediction method, TMHMM, based on a hidden Markov model.	11152613			protein, transmembrane protein	https://services.healthtech.dtu.dk/service.php?TMHMM-2.0																			
tmo		http://www.w3.org/2001/sw/hcls/ns/transmed/				1461		TMO	Translational Medicine Ontology	This project focuses on the development of a high level patient-centric ontology for the pharmaceutical industry. The ontology should enable silos in discovery research, hypothesis management, experimental studies, compounds, formulation, drug development, market size, competitive data, population data, etc. to be brought together. This would enable scientists to answer new questions, and to answer existing scientific questions more quickly. This will help pharmaceutical companies to model patient-centric information, which is essential for the tailoring of drugs, and for early detection of compounds that may have sub-optimal safety profiles. The ontology should link to existing publicly available domain ontologies.			terminology		http://esw.w3.org/HCLSIG/PharmaOntology													omitted						
tmrdb								tmRDB	tmRNA Database	tmRDB (tmRNA Database) provides aligned, annotated and phylogenetically ordered sequences related to structure and function of tmRNP.				RNA, structure	http://rnp.uthct.edu/rnp/tmRDB/tmRDB.html									N/A				omitted						
tok		http://cui.unige.ch/isi/onto/tok/TOK.owl#				1418		TOK	TOK_Ontology	An Ontology describing Resources having different formats. This Ontology can be used to annotate and describe Terminological, Ontological Knowledge resources.			terminology		http://cui.unige.ch/~ghoula/								Related_Term					omitted						
tol								Tree of Life	Tree of Life Web Project	The Tree of Life Web Project is a collection of information about biodiversity compiled collaboratively by hundreds of expert and amateur contributors. Its goal is to contain a page with pictures, text, and other information for every species and for each group of organisms, living or extinct.		University of Arizona		classification	http://phylogeny.arizona.edu/tree/phylogeny.html									http://tolweb.org/$id				present as MIR:00000405						
tomatest_db								TomatEST DB	TomatEST DB	This database has been designed to manage and to explore the huge amount of EST reads from 14 Solanaceae and 2 Rubiaceae species. 		EU-SOL		DNA, RNA	http://biosrv.cab.unina.it/tomatestdb							[A-Z]+\d+	SOLPN003470	http://biosrv.cab.unina.it/solestdb/clusterview.php?clid=$id			 ('Could not select database')	omitted						
topdb								TopDB	The Topology Databank	The Topology Data Bank of Transmembrane Proteins (TOPDB) is currently the most complete and comprehensive collection of transmembrane protein datasets containing experimentally derived topology information.		Institute of Enzymology, Hungary		protein	http://topdb.enzim.hu							[A-Z]+\d+	AB00979	http://topdb.enzim.hu/?m=show&id=$id				curation						
topfind	topfind			MIR:00000255				TopFind		TopFIND is a database of protein termini, terminus modifications and their proteolytic processing in the species: Homo sapiens, Mus musculus, Arabidopsis thaliana, Saccharomyces cerevisiae and Escherichia coli.	22102574			domain,protein								^([A-N,R-Z][0-9][A-Z][A-Z, 0-9][A-Z, 0-9][0-9])|([O,P,Q][0-9][A-Z, 0-9][A-Z, 0-9][A-Z, 0-9][0-9])$	Q9UKQ2	http://clipserve.clip.ubc.ca/topfind/proteins/$id		x								
topofitdb								TOPOFIT-DB	TOPOFIT-DB																		no resolving url	omitted						
toposnp								TopoSNP	TopoSNP					DNA													no resolving url	omitted						
tops								TOPS	Topology Of Protein Structures					protein, structure													no resolving url	omitted						
toxkb								ToxKB	Toxicology Database	A toxicogenomics database mashup		Dumontier Lab	warehouse	toxicology																				
toxodb								ToxoDB	Toxoplasma Genomics Resource	ToxoDB is a genome database for the genus Toxoplasma, a set of single-celled eukaryotic pathogens that cause human and animal diseases, including toxoplasmosis.		EuPathDB		genome	http://www.toxodb.org/toxo/home.jsp			eupathdb					TGGT1_120900	http://toxodb.org/toxo/showRecord.do?name=GeneRecordClasses.GeneRecordClass&source_id=$id				present as MIR:00000153						
toxoplasma	toxoplasma			MIR:00000153				ToxoDB		ToxoDB is one of the databases that can be accessed through the EuPathDB (http://EuPathDB.org; formerly ApiDB) portal, covering eukaryotic pathogens of the genera Cryptosporidium, Giardia, Leishmania, Neospora, Plasmodium, Toxoplasma, Trichomonas and Trypanosoma. While each of these groups is supported by a taxon-specific database built upon the same infrastructure, the EuPathDB portal offers an entry point to all these resources, and the opportunity to leverage orthology for searches across genera.	18003657	EuPathDB		eukaryotic,genome								^\w+$	TGME49_053730	http://toxodb.org/toxo/showRecord.do?name=GeneRecordClasses.GeneRecordClass&source_id=$id		x								
tpd								TransMembrane Protein DataBase	TransMembrane Protein DataBase	is a collection of TM proteins with topologies based on definite experimental evidences such as X-ray crystallography, NMR, gene fusion technique, substituted cysteine accessibility method, Asp(N)-linked glycosylation experiment and other biochemical methods.		Hirosaki University		protein, structure	http://bioinfo.si.hirosaki-u.ac.jp/~TMPDB/									unavailable				omitted						
tpdb								TPDB	Target Protein Database	This database is an attempt to catalog in a convenient, searchable fashion all publicly available information about the identities of mammalian proteins that become covalently adducted by chemically-reactive metabolites of xenobiotic agents including drugs.		University of Kansas		protein, small molecule	http://tpdb.medchem.ku.edu:8080/protein_database/index.jsp							^\d+$	86	http://tpdb.medchem.ku.edu:8080/protein_database/protein_details.jsp?prot_id=$id				curation						
tpmd								TPMD	Taiwan polymorphic microsatellite marker database	The aims of TPMD are to share useful genotyping information including data of genotyped microsatellite markers, genotyping resources and laboratory supports for promoting genotyping and gene cloning of prevalent diseases.		NHRI		gene	http://tpmd.nhri.org.tw							[A-Z,0-9]+	AFM234WG3	http://tpmd2.nhri.org.tw/tpmd/php-bin/filter.php?search=$id				curation						
tprd								Plant Repeat Database	Plant Repeat Database	The database was created to assist in the compilation and identification of repeat sequences in plant genomes. All of the repetitive sequences in the database are coded for the convenience of future analyses.		Michigan State University		genome	http://plantrepeats.plantbiology.msu.edu/index.html									N/A			portal / tool	omitted						
tptad									TIGR Plant Transcript Assembly database	The TIGR Plant Transcript Assemblies (TA) database uses expressed sequences collected from the NCBI GenBank Nucleotide database for the construction of transcript assemblies. The sequences collected include expressed sequence tags (ESTs) and full-length and partial cDNAs, but exclude computationally predicted gene sequences		JCVI		DNA	http://plantta.tigr.org							TA\d+_\d+	TA67744_4530	http://plantta.jcvi.org/cgi-bin/plantta_report.pl?ta=$id				omitted						
tractor_db								TRACTOR db	TRACTOR db: Regulatory networks in gamma-proteobacteria	Tractor_DB contains a collection of computationally predicted Transcription Factors' binding sites in gamma-proteobacterial genomes. These data should aid researchers in the design of microarray experiments and the interpretation of their results.				gene, regulation, gene expression	http://www.tractor.lncc.br/									N/A			not linkable 	omitted						
trait								TRAIT	TRAnscript Integrated Table					regulation													no resolving url	omitted						
transcompel								TRANSCompel	TRANSCompel	TransCompel is a database on composite regulatory elements affecting gene transcription in eukaryotes. Composite regulatory elements consist of two closely situated binding sites for distinct transcription factors, and provide cross-coupling of different signalling pathways.		BioBase		gene, regulation, small molecule, protein, pathway	http://www.gene-regulation.com/pub/databases.html#transcompel									need login			no access	omitted						
transfac								TRANSFAC	TRANSFAC			BioBase			http://www.gene-regulation.com									need login			no access	omitted						
transfactomedb	transfactome							TransfactomeDB	TransfactomeDB	The Yeast Transfactome Database, a repository of sequence specificity models and condition-specific regulatory activities for a large number of DNA- and RNA-binding proteins in Saccharomyces cerevisiae. 		Columbia University		DNA, RNA, protein, structure	http://bussemakerlab.org/YeastTransfactomeDB/									http://bussemaker.bio.columbia.edu:8080/ytdb-cgi/[?RNA/?DNA]/ViewPSAM?ms=[?RNA/?DNA]&M=$id				omitted						
transit	acs_transit							TRANSIT	TRANsglutamination SITes	TRANSIT is a database of TRANsglutamination SITes which collects information from literature about protein amino acids substrates of the transglutaminase enzyme (E.C. 2.3.2.13 - click the number for the ENZYME database link at the ExPASy Molecular Biology Server).		Istituto Dermopatico dell'Immacolata		protein, enzyme	http://bioinformatica.isa.cnr.it/TRANSIT/			acs						N/A			not linkable / tool	omitted						
transogene								TranspoGene	TranspoGene	TranspoGene is a publicly available database of Transposed elements (TEs) which are located within protein-coding genes of 7 organisms: human, mouse, chicken, zebrafish, fruilt fly, nematode and sea squirt. 		Tel-Aviv University		protein, gene	http://transpogene.tau.ac.il/									N/A			 (nternal server error)	omitted						
transpath								TRANSPATH	TRANSPATH	TransPath provides data about molecules participating in signal transduction pathways and the reactions they are involved in, resulting in a complex network of interconnected signaling components. It focuses on signaling cascades that change the activities of transcription factors and thus alter the gene expression profile of a given cell.		BioBase		pathway, small molecule, protein, gene, gene expression	http://www.gene-regulation.com/pub/databases.html#transpath									need login			no access	omitted						
transportdb								TransportDB	TransportDB	TransportDB is a relational database describing the predicted cytoplasmic membrane transport protein complement for organisms whose complete genome sequence are available.		Macquarie University		protein	http://www.membranetransport.org							MMP\d+	MMP0523	http://www.membranetransport.org/protein.php?pOID=mmar1&pSynonym=$id			not linkable (http://www.membranetransport.org/protein.php?pOID=acel1&pSynonym=Acel_0026)	omitted						
transterm								Transterm	Transterm	Transterm is a database providing access to mRNA sequences and associated regulatory elements.		University of Otago		RNA, regulation	http://mRNA.otago.ac.nz/Transterm.html							T\d+	T0102	http://mrna.otago.ac.nz/cgi-bin/tt_data_browse/RNAMotif?PatID=$id				curation						
trbase								TRBase	TRbase: A Database Of Tandem Repeats In The Human Genome	TRbase is a relational tandem repeat database that relates tandem repeats to gene locations and disease genes of the human genome. The TRbase stores both perfect and imperfect repeats of 1 to 2000 bp unit lengths that were identified using the Tandem Repeat Finder program		University of Exeter		gene, genome, DNA	http://trbase.ex.ac.uk/									N/A			not linkable / no data?	omitted						
trdb								TRDB	Tandem Repeats Database	Tandem Repeats Database (TRDB) is a public repository of information on tandem repeats in genomic DNA and contains a variety of tools for their analysis. 		Boston University		DNA	http://tandem.bu.edu/cgi-bin/trdb/trdb.exe									need login			no access	omitted						
tred								TRED	Transcriptional Regulatory Element Database	Transcriptional Regulatory Element Database (TRED) has been built in response to increasing needs of an integrated repository for both cis- and trans- regulatory elements in mammals, and the lack of such resources at present. 		Cold Spring Harbor Laboratory		DNA, regulation	http://rulai.cshl.edu/TRED							^\d+$	21552	http://rulai.cshl.edu/cgi-bin/TRED/tred.cgi?process=geneInfo&gid=$id				curation x3						
treebase				MIR:00000312				TreeBase	TreeBase	TreeBASE is a repository of phylogenetic information, specifically user-submitted phylogenetic trees and the data used to generate them. TreeBASE accepts all types of phylogenetic data (e.g., trees of species, trees of populations, trees of genes) representing all biotic taxa.		TreeBase		classification	http://www.treebase.org/							^\d+$	1245	http://www.treebase.org/treebase-web/search/study/summary.html?id=$id		x								
treefam								TreeFam	TreeFam	TreeFam (Tree families database) is a database of phylogenetic trees of animal genes. It aims at developing a curated resource that gives reliable information about ortholog and paralog assignments, and evolutionary history of various gene families.		Sanger Institute		gene, classification	http://www.treefam.org							TF\d+	TF101142	http://www.treefam.org/cgi-bin/TFinfo.pl?ac=$id				present as MIR:00000395						
trembl	uniprot-trembl							TrEMBL	UniProtKB-TrEMBL protein sequence database	TrEMBL, Translated EMBL is a very large protein database in Swiss-Prot format generated by computer translation of the genetic information from the EMBL Nucleotide Sequence Database.		UniProt		protein, gene	http://www.uniprot.org		uniprot							N/A			subset of uniprot	present as MIR:00000005						
